external_id,name,interval_count,uuid,interval_unit,data_source_uuid
price_1RoS8dRoTYKnwsE7M1zk0IKJ,SILVER PLAN,1,pl_e5ad8512-3271-40a0-be83-86d809633a4e,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RoQ1qRoTYKnwsE7tfavz9eF,SILVER PLAN Dolar,1,pl_30756617-8498-4c25-b82c-97bd8a108520,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RbiNiRoTYKnwsE7H03OCv8j,PLATINUM PLAN,3,pl_fd519fda-d574-4cd4-939c-c40f8543ba8c,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1REXLkRoTYKnwsE7Fa9nvRb8,Ninja Excel & KomboAI,1,pl_438c89dd-a41f-4de5-ac3f-1dd1d36091a4,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RJYfZRoTYKnwsE7YosygCBL,SILVER PLAN,1,pl_0e379478-ba2f-4d25-b3e7-6fd55f5b8ea5,year,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RJYmARoTYKnwsE7W9j4f2Qj,PLATINUM PLAN,1,pl_d3dd9e1b-2b96-4e8b-9c6a-e5755938ff5b,year,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RJYmgRoTYKnwsE7Z9ECa82g,CORE PLAN,1,pl_c24a0dd7-1f0a-4a18-aa55-eb246bc3a498,year,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RLlefRoTYKnwsE72wxnaSFB,Ninja Plan,1,pl_1f11c419-7808-40c7-beaf-4020aadbc1ad,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RU7kpRoTYKnwsE7o6Fw7Qap,CORE PLAN,1,pl_f5b2c0e2-1cdf-4803-97d0-f104569e2abe,year,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RU7nERoTYKnwsE7babQdA29,SILVER PLAN,1,pl_39c144dc-5eb3-40a9-8be1-c538c3d9a1e2,year,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RYlpcRoTYKnwsE7Vmg2w65Q,CORE PLAN,1,pl_1e74e718-65ab-413b-8212-42da135b234e,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RRIdsRoTYKnwsE76VbC7gZk,PLATINUM PLAN,1,pl_087e9b11-f939-4e5b-9fda-9f5ee20312d3,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RU7kpRoTYKnwsE76Vg2YqhD,CORE PLAN,1,pl_3b9dc672-dfdb-4503-af9d-62a1b3790585,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RU7mwRoTYKnwsE72zAbeMM1,SILVER PLAN,1,pl_9f2bc51a-89de-457a-800c-7a21b29d943d,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1RJYlWRoTYKnwsE7WkPnTZ37,SILVER PLAN,1,pl_41dbd38a-88f2-4afc-a4b6-4f87dca039d9,year,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1R8kOeRoTYKnwsE7ZzznbEb9,VICENTE ENLACE,1,pl_e47911c6-7d7c-4c00-8ece-ec1b50a52d5a,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1R57vRRoTYKnwsE7yxdHxMcm,SILVER SIN IMPUESTO,1,pl_755b5e58-b996-4592-988a-3d47f223f5ac,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1QytIMRoTYKnwsE7xpOMjzYm,Enlace para Grupo Sting,1,pl_8d46dbb4-70ef-417d-9c2a-ba66151cc848,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1QnNB3RoTYKnwsE7ceyF1x36,SILVER PLAN 3X,1,pl_60652688-82e4-423e-8e49-a29278097490,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1QmY2MRoTYKnwsE7dMz76DJE,CORE PLAN,1,pl_41d6d614-9735-4d59-9d99-dcc49299f1c7,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1Q4fdURoTYKnwsE7P2JcVbl9,CORE PLAN,1,pl_8680a713-3370-4b79-ae61-6c2307fae998,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1Ow10ERoTYKnwsE7iSIC5HcN,SDR as a Service ONLY PARTNERS,1,pl_dd80b8f5-ab7a-45a1-a5bd-66df07afafb4,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1P1TUIRoTYKnwsE7PQKkFJAV,SDR as a Service with Trial,1,pl_23cd396c-99b8-453b-9964-247562e7d76f,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1P1tXsRoTYKnwsE7uvL0LwiE,Pro,1,pl_ce53fbcd-2aae-489b-968f-8488302aa85c,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1P1tYGRoTYKnwsE762XJDOcs,Ultimate,1,pl_0dbd3f34-d60f-4348-9073-0ccac5d9af96,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1P97UVRoTYKnwsE7qErzroKR,SILVER PLAN,1,pl_291ee4fa-78b8-45dd-80ca-6de51989b851,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1PBJk2RoTYKnwsE7umtPYDll,SDR as a Service PRO,1,pl_7e126d52-4ceb-4f82-9195-fa0b6fd993e2,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1PC0coRoTYKnwsE7hfBwp6tc,SDR as a Service UNLIMITED,1,pl_aab816fe-c4e4-4858-93f5-07bf47231cfd,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1PGlGiRoTYKnwsE7xCH27NLY,Kombo SDR,1,pl_b2b84c7b-9d70-4216-afdc-8155fb2e784f,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
price_1PfNfMRoTYKnwsE79GU7jnX7,PLATINUM PLAN,1,pl_64bc9753-8924-467e-a070-97d1ca2c2447,month,ds_78983044-48ff-11ef-a3c9-aba08b7ca782
